20220601 013600;1.070740;1.070820;1.070610;1.070610;0
20220601 013700;1.070610;1.071010;1.070610;1.070920;0
20220601 013800;1.070940;1.070970;1.070880;1.070910;0
20220601 013900;1.070920;1.070920;1.070860;1.070860;0
20220601 014000;1.070880;1.070910;1.070770;1.070870;0
20220601 014100;1.070850;1.071010;1.070850;1.070920;0
20220601 014200;1.070890;1.070920;1.070830;1.070840;0
20220601 014300;1.070840;1.070860;1.070710;1.070760;0
20220601 014400;1.070750;1.070850;1.070740;1.070840;0
20220601 014500;1.070880;1.070940;1.070800;1.070800;0
20220601 014600;1.070790;1.070900;1.070740;1.070860;0
20220601 014700;1.070840;1.070840;1.070530;1.070530;0
20220601 014800;1.070530;1.070640;1.070510;1.070610;0
20220601 014900;1.070630;1.070670;1.070570;1.070600;0
20220601 015000;1.070600;1.070620;1.070530;1.070590;0
20220601 015100;1.070600;1.070840;1.070590;1.070840;0
20220601 015200;1.070820;1.070900;1.070780;1.070890;0
20220601 015300;1.070900;1.070940;1.070900;1.070900;0
20220601 015400;1.070900;1.071010;1.070900;1.070950;0
20220601 015500;1.070980;1.071020;1.070900;1.070900;0
20220601 015600;1.070890;1.071020;1.070830;1.071020;0
20220601 015700;1.071010;1.071050;1.070900;1.071050;0
20220601 015800;1.071040;1.071050;1.070820;1.070970;0
20220601 015900;1.070980;1.071020;1.070910;1.070980;0
20220601 020000;1.070970;1.070980;1.070580;1.070760;0
20220601 020100;1.070750;1.070790;1.070680;1.070710;0
20220601 020200;1.070700;1.070950;1.070660;1.070880;0
20220601 020300;1.070870;1.070990;1.070800;1.070970;0
20220601 020400;1.070980;1.071290;1.070950;1.071180;0
20220601 020500;1.071170;1.071220;1.071090;1.071210;0
20220601 020600;1.071220;1.071450;1.071220;1.071350;0
20220601 020700;1.071370;1.071370;1.071140;1.071150;0
20220601 020800;1.071160;1.071400;1.071130;1.071310;0
20220601 020900;1.071300;1.071320;1.071230;1.071310;0
20220601 021000;1.071290;1.071360;1.071210;1.071290;0
20220601 021100;1.071310;1.071450;1.071300;1.071340;0
20220601 021200;1.071350;1.071500;1.071290;1.071500;0
20220601 021300;1.071490;1.071520;1.071380;1.071500;0
20220601 021400;1.071520;1.071530;1.071340;1.071350;0
20220601 021500;1.071350;1.071370;1.071250;1.071350;0
20220601 021600;1.071300;1.071370;1.071280;1.071300;0
20220601 021700;1.071320;1.071360;1.071170;1.071200;0
20220601 021800;1.071190;1.071350;1.071180;1.071340;0
20220601 021900;1.071330;1.071450;1.071240;1.071240;0
20220601 022000;1.071250;1.071300;1.071180;1.071260;0
20220601 022100;1.071300;1.071550;1.071280;1.071540;0
20220601 022200;1.071540;1.071590;1.071430;1.071580;0
20220601 022300;1.071590;1.071720;1.071520;1.071690;0
20220601 022400;1.071680;1.071760;1.071650;1.071720;0
20220601 022500;1.071710;1.071710;1.071480;1.071530;0
20220601 022600;1.071520;1.071550;1.071440;1.071530;0
20220601 022700;1.071530;1.071530;1.071330;1.071330;0
